-4.00000000e+01 -1.02048655e-03 -4.00000000e+01 -1.96161482e-04 -4.00000000e+01 -6.16840792e-05 -4.00000000e+01 -4.27356092e-05 -4.00000000e+01 -1.77874286e-05 -4.00000000e+01 -8.93522635e-06 
-3.50000000e+01 -1.01941784e-03 -3.50000000e+01 -1.95837188e-04 -3.50000000e+01 -6.15760100e-05 -3.50000000e+01 -4.26601426e-05 -3.50000000e+01 -1.77556920e-05 -3.50000000e+01 -8.91922586e-06 
-3.00000000e+01 -1.01831416e-03 -3.00000000e+01 -1.95502695e-04 -3.00000000e+01 -6.14645643e-05 -3.00000000e+01 -4.25823202e-05 -3.00000000e+01 -1.77229659e-05 -3.00000000e+01 -8.90272674e-06 
-2.50000000e+01 -1.01717574e-03 -2.50000000e+01 -1.95158113e-04 -2.50000000e+01 -6.13497807e-05 -2.50000000e+01 -4.25021695e-05 -2.50000000e+01 -1.76892619e-05 -2.50000000e+01 -8.88573486e-06 
-2.00000000e+01 -1.01600283e-03 -2.00000000e+01 -1.94803553e-04 -2.00000000e+01 -6.12316990e-05 -2.00000000e+01 -4.24197181e-05 -2.00000000e+01 -1.76545918e-05 -2.00000000e+01 -8.86825618e-06 
-1.50000000e+01 -1.01479566e-03 -1.50000000e+01 -1.94439132e-04 -1.50000000e+01 -6.11103595e-05 -1.50000000e+01 -4.23349946e-05 -1.50000000e+01 -1.76189679e-05 -1.50000000e+01 -8.85029684e-06 
-1.00000000e+01 -1.01355450e-03 -1.00000000e+01 -1.94064967e-04 -1.00000000e+01 -6.09858037e-05 -1.00000000e+01 -4.22480281e-05 -1.00000000e+01 -1.75824023e-05 -1.00000000e+01 -8.83186308e-06 
-5.00000000e+00 -1.01227961e-03 -5.00000000e+00 -1.93681178e-04 -5.00000000e+00 -6.08580739e-05 -5.00000000e+00 -4.21588484e-05 -5.00000000e+00 -1.75449077e-05 -5.00000000e+00 -8.81296129e-06 
 0.00000000e+00 -1.01097124e-03  0.00000000e+00 -1.93287889e-04  0.00000000e+00 -6.07272130e-05  0.00000000e+00 -4.20674857e-05  0.00000000e+00 -1.75064971e-05  0.00000000e+00 -8.79359795e-06 
 5.00000000e+00 -1.00962967e-03  5.00000000e+00 -1.92885223e-04  5.00000000e+00 -6.05932648e-05  5.00000000e+00 -4.19739707e-05  5.00000000e+00 -1.74671833e-05  5.00000000e+00 -8.77377968e-06 
 1.00000000e+01 -1.00825519e-03  1.00000000e+01 -1.92473308e-04  1.00000000e+01 -6.04562739e-05  1.00000000e+01 -4.18783347e-05  1.00000000e+01 -1.74269797e-05  1.00000000e+01 -8.75351318e-06 
 1.50000000e+01 -1.00684806e-03  1.50000000e+01 -1.92052273e-04  1.50000000e+01 -6.03162854e-05  1.50000000e+01 -4.17806097e-05  1.50000000e+01 -1.73858999e-05  1.50000000e+01 -8.73280530e-06 
 2.00000000e+01 -1.00540859e-03  2.00000000e+01 -1.91622249e-04  2.00000000e+01 -6.01733454e-05  2.00000000e+01 -4.16808278e-05  2.00000000e+01 -1.73439574e-05  2.00000000e+01 -8.71166294e-06 
 2.50000000e+01 -1.00393706e-03  2.50000000e+01 -1.91183369e-04  2.50000000e+01 -6.00275002e-05  2.50000000e+01 -4.15790217e-05  2.50000000e+01 -1.73011662e-05  2.50000000e+01 -8.69009312e-06 
 3.00000000e+01 -1.00243378e-03  3.00000000e+01 -1.90735767e-04  3.00000000e+01 -5.98787970e-05  3.00000000e+01 -4.14752245e-05  3.00000000e+01 -1.72575403e-05  3.00000000e+01 -8.66810293e-06 
 3.50000000e+01 -1.00089904e-03  3.50000000e+01 -1.90279581e-04  3.50000000e+01 -5.97272834e-05  3.50000000e+01 -4.13694698e-05  3.50000000e+01 -1.72130939e-05  3.50000000e+01 -8.64569957e-06 
 4.00000000e+01 -9.99333166e-04  4.00000000e+01 -1.89814948e-04  4.00000000e+01 -5.95730078e-05  4.00000000e+01 -4.12617913e-05  4.00000000e+01 -1.71678413e-05  4.00000000e+01 -8.62289029e-06 
 4.50000000e+01 -9.97736462e-04  4.50000000e+01 -1.89342008e-04  4.50000000e+01 -5.94160186e-05  4.50000000e+01 -4.11522234e-05  4.50000000e+01 -1.71217971e-05  4.50000000e+01 -8.59968242e-06 
 5.00000000e+01 -9.96109248e-04  5.00000000e+01 -1.88860902e-04  5.00000000e+01 -5.92563650e-05  5.00000000e+01 -4.10408004e-05  5.00000000e+01 -1.70749759e-05  5.00000000e+01 -8.57608335e-06 
 5.50000000e+01 -9.94451848e-04  5.50000000e+01 -1.88371771e-04  5.50000000e+01 -5.90940967e-05  5.50000000e+01 -4.09275573e-05  5.50000000e+01 -1.70273924e-05  5.50000000e+01 -8.55210055e-06 
 6.00000000e+01 -9.92764590e-04  6.00000000e+01 -1.87874760e-04  6.00000000e+01 -5.89292635e-05  6.00000000e+01 -4.08125290e-05  6.00000000e+01 -1.69790615e-05  6.00000000e+01 -8.52774153e-06 
 6.50000000e+01 -9.91047805e-04  6.50000000e+01 -1.87370013e-04  6.50000000e+01 -5.87619157e-05  6.50000000e+01 -4.06957510e-05  6.50000000e+01 -1.69299982e-05  6.50000000e+01 -8.50301385e-06 
 7.00000000e+01 -9.89301830e-04  7.00000000e+01 -1.86857676e-04  7.00000000e+01 -5.85921038e-05  7.00000000e+01 -4.05772587e-05  7.00000000e+01 -1.68802175e-05  7.00000000e+01 -8.47792512e-06 
 7.50000000e+01 -9.87527003e-04  7.50000000e+01 -1.86337895e-04  7.50000000e+01 -5.84198789e-05  7.50000000e+01 -4.04570878e-05  7.50000000e+01 -1.68297345e-05  7.50000000e+01 -8.45248298e-06 
