-4.00000000e+01  8.76083872e-01 -4.00000000e+01  8.76079112e-01 -4.00000000e+01  8.31262272e-01 -4.00000000e+01  1.20589897e+00 
-3.50000000e+01  8.69137793e-01 -3.50000000e+01  8.69133906e-01 -3.50000000e+01  8.23298756e-01 -3.50000000e+01  1.20599074e+00 
-3.00000000e+01  8.62137875e-01 -3.00000000e+01  8.62134816e-01 -3.00000000e+01  8.15237961e-01 -3.00000000e+01  1.20633521e+00 
-2.50000000e+01  8.55090378e-01 -2.50000000e+01  8.55088110e-01 -2.50000000e+01  8.07147252e-01 -2.50000000e+01  1.20650940e+00 
-2.00000000e+01  8.47994620e-01 -2.00000000e+01  8.47993110e-01 -2.00000000e+01  7.99005985e-01 -2.00000000e+01  1.20665278e+00 
-1.50000000e+01  8.40851889e-01 -1.50000000e+01  8.40851107e-01 -1.50000000e+01  7.90815187e-01 -1.50000000e+01  1.20676845e+00 
-1.00000000e+01  8.33663356e-01 -1.00000000e+01  8.33663276e-01 -1.00000000e+01  7.82576059e-01 -1.00000000e+01  1.20685733e+00 
-5.00000000e+00  8.26430214e-01 -5.00000000e+00  8.26430813e-01 -5.00000000e+00  7.74289783e-01 -5.00000000e+00  1.20692066e+00 
 0.00000000e+00  8.19153666e-01  0.00000000e+00  8.19154926e-01  0.00000000e+00  7.65957547e-01  0.00000000e+00  1.20695977e+00 
 5.00000000e+00  8.11834929e-01  5.00000000e+00  8.11836832e-01  5.00000000e+00  7.57580541e-01  5.00000000e+00  1.20697603e+00 
 1.00000000e+01  8.04475231e-01  1.00000000e+01  8.04477766e-01  1.00000000e+01  7.49159960e-01  1.00000000e+01  1.20697090e+00 
 1.50000000e+01  7.97075819e-01  1.50000000e+01  7.97078974e-01  1.50000000e+01  7.40697009e-01  1.50000000e+01  1.20694594e+00 
 2.00000000e+01  7.89637955e-01  2.00000000e+01  7.89641723e-01  2.00000000e+01  7.32192895e-01  2.00000000e+01  1.20690279e+00 
 2.50000000e+01  7.82162923e-01  2.50000000e+01  7.82167297e-01  2.50000000e+01  7.23648836e-01  2.50000000e+01  1.20684321e+00 
 3.00000000e+01  7.74652028e-01  3.00000000e+01  7.74657005e-01  3.00000000e+01  7.15066059e-01  3.00000000e+01  1.20676907e+00 
 3.50000000e+01  7.67106599e-01  3.50000000e+01  7.67112178e-01  3.50000000e+01  7.06445798e-01  3.50000000e+01  1.20668239e+00 
 4.00000000e+01  7.59527993e-01  4.00000000e+01  7.59534175e-01  4.00000000e+01  6.97789300e-01  4.00000000e+01  1.20658532e+00 
 4.50000000e+01  7.51917598e-01  4.50000000e+01  7.51924386e-01  4.50000000e+01  6.89097824e-01  4.50000000e+01  1.20648018e+00 
 5.00000000e+01  7.44276833e-01  5.00000000e+01  7.44284233e-01  5.00000000e+01  6.80372642e-01  5.00000000e+01  1.20636945e+00 
 5.50000000e+01  7.36607157e-01  5.50000000e+01  7.36615176e-01  5.50000000e+01  6.71615040e-01  5.50000000e+01  1.20625581e+00 
 6.00000000e+01  7.28910067e-01  6.00000000e+01  7.28918716e-01  6.00000000e+01  6.62826321e-01  6.00000000e+01  1.20614216e+00 
 6.50000000e+01  7.21187108e-01  6.50000000e+01  7.21196399e-01  6.50000000e+01  6.54007808e-01  6.50000000e+01  1.20603163e+00 
 7.00000000e+01  7.13439875e-01  7.00000000e+01  7.13449822e-01  7.00000000e+01  6.45160840e-01  7.00000000e+01  1.20592760e+00 
 7.50000000e+01  7.05670017e-01  7.50000000e+01  7.05680638e-01  7.50000000e+01  6.36286783e-01  7.50000000e+01  1.20583372e+00 
 8.00000000e+01  6.97879246e-01  8.00000000e+01  6.97890564e-01  8.00000000e+01  6.27387025e-01  8.00000000e+01  1.20575397e+00 
 8.50000000e+01  6.90069346e-01  8.50000000e+01  6.90081383e-01  8.50000000e+01  6.18462983e-01  8.50000000e+01  1.20569265e+00 
 9.00000000e+01  6.82242175e-01  9.00000000e+01  6.82254960e-01  9.00000000e+01  6.09516103e-01  9.00000000e+01  1.20565444e+00 
 9.50000000e+01  6.74399679e-01  9.50000000e+01  6.74413245e-01  9.50000000e+01  6.00547867e-01  9.50000000e+01  1.20564445e+00 
 1.00000000e+02  6.66543901e-01  1.00000000e+02  6.66558286e-01  1.00000000e+02  5.91559797e-01  1.00000000e+02  1.20566825e+00 
 1.05000000e+02  6.58676994e-01  1.05000000e+02  6.58692241e-01  1.05000000e+02  5.82553455e-01  1.05000000e+02  1.20573193e+00 
 1.10000000e+02  6.50801231e-01  1.10000000e+02  6.50817394e-01  1.10000000e+02  5.73530456e-01  1.10000000e+02  1.20584223e+00 
 1.15000000e+02  6.42919029e-01  1.15000000e+02  6.42936169e-01  1.15000000e+02  5.64492467e-01  1.15000000e+02  1.20600658e+00 
 1.20000000e+02  6.35032959e-01  1.20000000e+02  6.35051148e-01  1.20000000e+02  5.55441219e-01  1.20000000e+02  1.20623326e+00 
 1.25000000e+02  6.27145772e-01  1.25000000e+02  6.27165100e-01  1.25000000e+02  5.46378516e-01  1.25000000e+02  1.20653163e+00 
