-4.00000000e+01  1.21608416e+00 
-3.50000000e+01  1.21611863e+00 
-3.00000000e+01  1.21640376e+00 
-2.50000000e+01  1.21652707e+00 
-2.00000000e+01  1.21662512e+00 
-1.50000000e+01  1.21670115e+00 
-1.00000000e+01  1.21675644e+00 
-5.00000000e+00  1.21679259e+00 
 0.00000000e+00  1.21681125e+00 
 5.00000000e+00  1.21681418e+00 
 1.00000000e+01  1.21680324e+00 
 1.50000000e+01  1.21678039e+00 
 2.00000000e+01  1.21674769e+00 
 2.50000000e+01  1.21670737e+00 
 3.00000000e+01  1.21666176e+00 
 3.50000000e+01  1.21661337e+00 
 4.00000000e+01  1.21656487e+00 
 4.50000000e+01  1.21651914e+00 
 5.00000000e+01  1.21647924e+00 
 5.50000000e+01  1.21644848e+00 
 6.00000000e+01  1.21643041e+00 
 6.50000000e+01  1.21642885e+00 
 7.00000000e+01  1.21644797e+00 
 7.50000000e+01  1.21649224e+00 
 8.00000000e+01  1.21656655e+00 
 8.50000000e+01  1.21667621e+00 
 9.00000000e+01  1.21682702e+00 
 9.50000000e+01  1.21702534e+00 
 1.00000000e+02  1.21727818e+00 
 1.05000000e+02  1.21759325e+00 
 1.10000000e+02  1.21797913e+00 
 1.15000000e+02  1.21844541e+00 
 1.20000000e+02  1.21900281e+00 
 1.25000000e+02  1.21966345e+00 
