-4.00000000e+01  1.20722268e+00 
-3.90000000e+01  1.20716238e+00 
-3.80000000e+01  1.20729691e+00 
-3.70000000e+01  1.20733364e+00 
-3.60000000e+01  1.20736856e+00 
-3.50000000e+01  1.20740205e+00 
-3.40000000e+01  1.20743436e+00 
-3.30000000e+01  1.20746550e+00 
-3.20000000e+01  1.20749548e+00 
-3.10000000e+01  1.20752431e+00 
-3.00000000e+01  1.20755199e+00 
-2.90000000e+01  1.20757854e+00 
-2.80000000e+01  1.20760397e+00 
-2.70000000e+01  1.20762828e+00 
-2.60000000e+01  1.20765148e+00 
-2.50000000e+01  1.20767358e+00 
-2.40000000e+01  1.20769459e+00 
-2.30000000e+01  1.20771452e+00 
-2.20000000e+01  1.20773338e+00 
-2.10000000e+01  1.20775117e+00 
-2.00000000e+01  1.20776791e+00 
-1.90000000e+01  1.20778361e+00 
-1.80000000e+01  1.20779827e+00 
-1.70000000e+01  1.20781191e+00 
-1.60000000e+01  1.20782453e+00 
-1.50000000e+01  1.20783614e+00 
-1.40000000e+01  1.20784676e+00 
-1.30000000e+01  1.20785639e+00 
-1.20000000e+01  1.20786504e+00 
-1.10000000e+01  1.20787273e+00 
-1.00000000e+01  1.20787946e+00 
-9.00000000e+00  1.20788524e+00 
-8.00000000e+00  1.20789009e+00 
-7.00000000e+00  1.20789401e+00 
-6.00000000e+00  1.20789702e+00 
-5.00000000e+00  1.20789913e+00 
-4.00000000e+00  1.20790034e+00 
-3.00000000e+00  1.20790067e+00 
-2.00000000e+00  1.20790012e+00 
-1.00000000e+00  1.20789872e+00 
 0.00000000e+00  1.20789647e+00 
 1.00000000e+00  1.20789338e+00 
 2.00000000e+00  1.20788946e+00 
 3.00000000e+00  1.20788473e+00 
 4.00000000e+00  1.20787920e+00 
 5.00000000e+00  1.20787287e+00 
 6.00000000e+00  1.20786577e+00 
 7.00000000e+00  1.20785790e+00 
 8.00000000e+00  1.20784928e+00 
 9.00000000e+00  1.20783992e+00 
 1.00000000e+01  1.20782982e+00 
 1.10000000e+01  1.20781901e+00 
 1.20000000e+01  1.20780750e+00 
 1.30000000e+01  1.20779530e+00 
 1.40000000e+01  1.20778242e+00 
 1.50000000e+01  1.20776888e+00 
 1.60000000e+01  1.20775469e+00 
 1.70000000e+01  1.20773986e+00 
 1.80000000e+01  1.20772441e+00 
 1.90000000e+01  1.20770836e+00 
 2.00000000e+01  1.20769171e+00 
 2.10000000e+01  1.20767448e+00 
 2.20000000e+01  1.20765669e+00 
 2.30000000e+01  1.20763835e+00 
 2.40000000e+01  1.20761948e+00 
 2.50000000e+01  1.20760009e+00 
 2.60000000e+01  1.20758019e+00 
 2.70000000e+01  1.20755981e+00 
 2.80000000e+01  1.20753896e+00 
 2.90000000e+01  1.20751765e+00 
 3.00000000e+01  1.20749591e+00 
 3.10000000e+01  1.20747374e+00 
 3.20000000e+01  1.20745117e+00 
 3.30000000e+01  1.20742821e+00 
 3.40000000e+01  1.20740489e+00 
 3.50000000e+01  1.20738121e+00 
 3.60000000e+01  1.20735719e+00 
 3.70000000e+01  1.20733286e+00 
 3.80000000e+01  1.20730823e+00 
 3.90000000e+01  1.20728332e+00 
 4.00000000e+01  1.20725815e+00 
 4.10000000e+01  1.20723274e+00 
 4.20000000e+01  1.20720711e+00 
